RegionName2,Year,Epidemic_Week
Dire Dawa,2022,39
Dire Dawa,2022,40
Dire Dawa,2022,41
Dire Dawa,2022,42
Dire Dawa,2022,43
Dire Dawa,2022,44
Dire Dawa,2022,45
Dire Dawa,2022,46
Dire Dawa,2022,47
Dire Dawa,2022,48
Dire Dawa,2022,49
Dire Dawa,2022,50
Dire Dawa,2022,51
Dire Dawa,2022,52
Gambela,2014,48
Gambela,2019,13
Gambela,2019,15
Gambela,2020,1
Gambela,2020,2
Gambela,2020,3
Gambela,2020,4
Gambela,2020,5
Gambela,2020,6
Gambela,2020,7
Gambela,2020,8
Gambela,2020,9
Gambela,2020,10
Gambela,2020,11
Gambela,2020,12
Gambela,2020,13
Gambela,2020,14
Gambela,2020,15
Gambela,2020,16
Gambela,2020,17
Gambela,2020,18
Gambela,2020,19
Gambela,2020,20
Gambela,2020,21
Gambela,2020,22
Gambela,2020,23
Gambela,2020,24
Gambela,2020,25
Gambela,2020,26
Gambela,2020,27
Gambela,2020,28
Gambela,2020,29
Gambela,2020,30
Gambela,2020,31
Gambela,2020,32
Gambela,2020,33
Gambela,2020,34
Gambela,2020,35
Gambela,2020,36
Gambela,2020,37
Gambela,2020,38
Gambela,2020,39
Gambela,2020,40
Gambela,2020,41
Gambela,2020,42
Gambela,2020,43
Gambela,2020,44
Gambela,2020,45
Gambela,2020,46
Gambela,2020,47
Gambela,2020,48
Gambela,2020,49
Gambela,2020,50
Gambela,2020,51
Gambela,2020,52
Gambela,2021,1
Gambela,2021,2
Gambela,2021,3
Gambela,2021,4
Gambela,2021,5
Gambela,2021,6
Gambela,2021,7
Gambela,2021,8
Gambela,2021,9
Gambela,2021,10
Gambela,2021,11
Gambela,2021,12
Gambela,2021,13
Gambela,2021,14
Gambela,2021,15
Gambela,2021,16
Gambela,2021,17
Gambela,2021,18
Gambela,2021,19
Gambela,2021,20
Gambela,2021,21
Gambela,2021,22
Gambela,2021,23
Gambela,2021,24
Gambela,2021,25
Gambela,2021,26
Gambela,2021,27
Gambela,2021,28
Gambela,2021,29
Gambela,2021,30
Gambela,2021,31
Gambela,2021,32
Gambela,2021,33
Gambela,2021,34
Gambela,2021,35
Gambela,2021,36
Gambela,2021,37
Gambela,2021,38
Gambela,2021,39
Gambela,2021,40
Gambela,2021,41
Gambela,2021,42
Gambela,2021,43
Gambela,2021,44
Gambela,2021,45
Gambela,2021,46
Gambela,2021,47
Gambela,2021,48
Gambela,2021,49
Gambela,2021,50
Gambela,2021,51
Gambela,2021,52
Gambela,2022,5
Gambela,2022,6
Gambela,2022,7
Gambela,2022,8
Gambela,2022,9
Gambela,2022,10
Gambela,2022,11
Gambela,2022,12
Gambela,2022,13
Gambela,2022,14
Gambela,2022,15
Gambela,2022,16
Gambela,2022,17
Gambela,2022,18
Gambela,2022,19
Gambela,2022,20
Gambela,2022,21
Gambela,2022,22
Gambela,2022,23
Gambela,2022,24
Gambela,2022,25
Gambela,2022,26
Gambela,2022,27
Gambela,2022,34
Gambela,2022,35
Gambela,2022,36
Gambela,2022,37
Gambela,2022,38
Gambela,2022,39
Gambela,2022,40
Gambela,2022,41
Gambela,2022,42
Gambela,2022,43
Gambela,2022,44
Gambela,2022,45
Gambela,2022,46
Gambela,2022,47
Gambela,2022,48
Gambela,2022,49
Gambela,2022,50
Gambela,2022,51
Gambela,2022,52
Harari,2019,10
Harari,2020,1
Harari,2020,2
Harari,2020,3
Harari,2020,4
Harari,2020,5
Harari,2020,6
Harari,2020,7
Harari,2020,8
Harari,2020,9
Harari,2020,10
Harari,2020,11
Harari,2020,12
Harari,2020,13
Harari,2020,14
Harari,2020,15
Harari,2020,16
Harari,2020,17
Harari,2020,18
Harari,2020,19
Harari,2020,20
Harari,2020,21
Harari,2020,22
Harari,2020,23
Harari,2020,24
Harari,2020,25
Harari,2020,26
Harari,2020,27
Harari,2020,28
Harari,2020,29
Harari,2020,30
Harari,2020,31
Harari,2020,32
Harari,2020,33
Harari,2020,34
Harari,2020,35
Harari,2020,36
Harari,2020,37
Harari,2020,38
Harari,2020,39
Harari,2020,40
Harari,2020,41
Harari,2020,42
Harari,2020,43
Harari,2020,44
Harari,2020,45
Harari,2020,46
Harari,2020,47
Harari,2020,48
Harari,2020,49
Harari,2020,50
Harari,2020,51
Harari,2020,52
Harari,2021,1
Harari,2021,2
Harari,2021,3
Harari,2021,4
Harari,2021,5
Harari,2021,6
Harari,2021,7
Harari,2021,8
Harari,2021,9
Harari,2021,10
Harari,2021,11
Harari,2021,12
Harari,2021,13
Harari,2021,14
Harari,2021,15
Harari,2021,16
Harari,2021,17
Harari,2021,18
Harari,2021,19
Harari,2021,20
Harari,2021,21
Harari,2021,22
Harari,2021,23
Harari,2021,24
Harari,2021,25
Harari,2021,26
Harari,2021,27
Harari,2021,28
Harari,2021,29
Harari,2021,30
Harari,2021,31
Harari,2021,32
Harari,2021,33
Harari,2021,34
Harari,2021,35
Harari,2021,36
Harari,2021,37
Harari,2021,38
Harari,2021,39
Harari,2021,40
Harari,2021,41
Harari,2021,42
Harari,2021,43
Harari,2021,44
Harari,2021,45
Harari,2021,46
Harari,2021,47
Harari,2021,48
Harari,2021,49
Harari,2021,50
Harari,2021,51
Harari,2021,52
Harari,2022,5
Harari,2022,6
Harari,2022,7
Harari,2022,8
Harari,2022,9
Harari,2022,10
Harari,2022,11
Harari,2022,12
Harari,2022,13
Harari,2022,14
Harari,2022,15
Harari,2022,16
Harari,2022,17
Harari,2022,18
Harari,2022,19
Harari,2022,20
Harari,2022,21
Harari,2022,22
Harari,2022,23
Harari,2022,24
Harari,2022,25
Harari,2022,26
Harari,2022,27
Harari,2022,34
Harari,2022,35
Harari,2022,36
Harari,2022,37
Harari,2022,38
Harari,2022,39
Harari,2022,40
Harari,2022,41
Harari,2022,42
Harari,2022,43
Harari,2022,44
Harari,2022,45
Harari,2022,46
Harari,2022,47
Harari,2022,48
Harari,2022,49
Harari,2022,50
Harari,2022,51
Harari,2022,52
Oromia,2019,8
Oromia,2020,1
Oromia,2020,2
Oromia,2020,3
Oromia,2020,4
Oromia,2020,5
Oromia,2020,6
Oromia,2020,7
Oromia,2020,8
Oromia,2020,9
Oromia,2020,10
Oromia,2020,11
Oromia,2020,12
Oromia,2020,13
Oromia,2020,14
Oromia,2020,15
Oromia,2020,16
Oromia,2020,17
Oromia,2020,18
Oromia,2020,19
Oromia,2020,20
Oromia,2020,21
Oromia,2020,22
Oromia,2020,23
Oromia,2020,24
Oromia,2020,25
Oromia,2020,26
Oromia,2020,27
Oromia,2020,28
Oromia,2020,29
Oromia,2020,30
Oromia,2020,31
Oromia,2020,32
Oromia,2020,33
Oromia,2020,34
Oromia,2020,35
Oromia,2020,36
